#mgi_symbol_MOUSE	hgnc_symbol_HUMAN
0610010K14Rik	C17orf49
Ranbp6	RANBP6
Rangap1	RANGAP1
Rangrf	RANGRF
Rap1a	RAP1A
Rapgef1	RAPGEF1
Rapgef2	RAPGEF2
Rars2	RARS2
Rb1cc1	RB1CC1
Rbak	RBAK
Rbbp4	RBBP4
Rbbp7	RBBP7
Rbck1	RBCK1
Rbfa	RBFA
Rbm10	RBM10
Rbm12b1	RBM12B
Rbm12b2	RBM12B
Rbm14	RBM14
Rbm15	RBM15
Rbm15b	RBM15B
Rbm17	RBM17
Rbm18	RBM18
Rbm19	RBM19
Rbm27	RBM27
Rbm28	RBM28
Rbm33	RBM33
Rbm34	RBM34
Rbm39	RBM39
Rbm4	RBM4
Rbm41	RBM41
Rbm42	RBM42
Rbm5	RBM5
Rbm6	RBM6
Rbm7	RBM7
Rbm8a	RBM8A
Rbm8a2	RBM8A
Rbmx	RBMX
Rbmxl1	RBMXL1
Rbx1	RBX1
Rc3h2	RC3H2
Rcan1	RCAN1
Rchy1	RCHY1
Rcn2	RCN2
Rdh14	RDH14
Rdx	RDX
Reep3	REEP3
Reep5	REEP5
Rela	RELA
Repin1	REPIN1
Reps1	REPS1
Rer1	RER1
Rest	REST
Rexo1	REXO1
Rfc1	RFC1
Rfc2	RFC2
Rfc5	RFC5
Rfk	RFK
Rfng	RFNG
Rft1	RFT1
Rfxank	RFXANK
Rgp1	RGP1
Rhbdd1	RHBDD1
Rhbdd3	RHBDD3
Rhoa	RHOA
Rhob	RHOB
Rhot1	RHOT1
Rhot2	RHOT2
Ric8a	RIC8A
Rin2	RIN2
Ring1	RING1
Rint1	RINT1
Riok1	RIOK1
Riok2	RIOK2
Riok3	RIOK3
Ripk1	RIPK1
Rmdn1	RMDN1
Rmdn3	RMDN3
Rmi1	RMI1
Rmnd1	RMND1
Rmnd5a	RMND5A
Rmnd5b	RMND5B
Rnaseh1	RNASEH1
Rnaseh2c	RNASEH2C
Rnasek	RNASEK
Rnf10	RNF10
Rnf103	RNF103
Rnf11	RNF11
Rnf111	RNF111
Rnf113a2	RNF113A
Rnf115	RNF115
Rnf121	RNF121
Rnf126	RNF126
Rnf13	RNF13
Rnf14	RNF14
Rnf141	RNF141
Rnf146	RNF146
Rnf167	RNF167
Rnf185	RNF185
Rnf216	RNF216
Rnf220	RNF220
Rnf25	RNF25
Rnf26	RNF26
Rnf31	RNF31
Rnf34	RNF34
Rnf4	RNF4
Rnf40	RNF40
Rnf5	RNF5
Rnf6	RNF6
Rnf7	RNF7
Rnf7l	RNF7
Rnh1	RNH1
Rnpep	RNPEP
Romo1	ROMO1
Rp9	RP9
Rpa2	RPA2
Rpa3	RPA3
Rpain	RPAIN
Rpap3	RPAP3
Rpf1	RPF1
Rpf2	RPF2
Rpl10a	RPL10A
Rpl11	RPL11
Rpl14	RPL14
Rpl27	RPL27
Rpl30	RPL30
Rpl32	RPL32
Rpl34	RPL34
Rpl35	RPL35
Rpl4	RPL4
Rpl6	RPL6
Rpl7l1	RPL7L1
Rpl8	RPL8
Rpn1	RPN1
Rpn2	RPN2
Rpp25l	RPP25L
Rpp30	RPP30
Rpp38	RPP38
Rprd1b	RPRD1B
Rps13	RPS13
Rps19bp1	RPS19BP1
Rps5	RPS5
Rps6	RPS6
Rps6ka3	RPS6KA3
Rps6kb1	RPS6KB1
Rps6kb2	RPS6KB2
Rpusd3	RPUSD3
Rraga	RRAGA
Rrm1	RRM1
Rrn3	RRN3
Rrn3	RRN3
Rrp1	RRP1
Rrp36	RRP36
Rrp7a	RRP7A
Rrp8	RRP8
Rrs1	RRS1
Rsad1	RSAD1
Rsbn1l	RSBN1L
Rsc1a1	RSC1A1
Rsl1	ZNF195
Rsl1d1	RSL1D1
Rslcan18	ZNF195
Rspry1	RSPRY1
Rsrc1	RSRC1
Rsrc2	RSRC2
Rtca	RTCA
Rtn4	RTN4
Rufy1	RUFY1
Ruvbl1	RUVBL1
Rwdd1	RWDD1
Rwdd3	RWDD3
Rxra	RXRA
Rxrb	RXRB
Sae1	SAE1
Samd4b	SAMD4B
Samd8	SAMD8
Samm50	SAMM50
Sap18	SAP18
Sap18b	SAP18
Sap30	SAP30
Sap30bp	SAP30BP
Sap30l	SAP30L
Sar1a	SAR1A
Sarnp	SARNP
Sart1	SART1
Sart3	SART3
Sat2	SAT2
Sav1	SAV1
Sbds	SBDS
Scaf1	SCAF1
Scaf11	SCAF11
Scaf4	SCAF4
Scaf8	SCAF8
Scamp2	SCAMP2
Scamp3	SCAMP3
Scand1	SCAND1
Scap	SCAP
Scarb2	SCARB2
Scfd1	SCFD1
Scfd2	SCFD2
Scnm1	SCNM1
Sco1	SCO1
Sco2	SCO2
Scoc	SCOC
Scp2	SCP2
Scrib	SCRIB
Scrn3	SCRN3
Scyl1	SCYL1
Scyl2	SCYL2
Scyl3	SCYL3
Sdad1	SDAD1
Sdcbp	SDCBP
Sdccag8	SDCCAG8
Sde2	SDE2
Sdf2	SDF2
Sdf4	SDF4
Sdha	SDHA
Sdhaf2	SDHAF2
Sdhb	SDHB
Sdhc	SDHC
Sdhd	SDHD
Sdr39u1	SDR39U1
Sec11a	SEC11A
Sec13	SEC13
Sec16a	SEC16A
Sec22b	SEC22B
Sec22c	SEC22C
Sec23a	SEC23A
Sec23ip	SEC23IP
Sec24a	SEC24A
Sec24b	SEC24B
Sec24c	SEC24C
Sec31a	SEC31A
Sec61a1	SEC61A1
Sec61b	SEC61B
Sec61g	SEC61G
Sec62	SEC62
Sec63	SEC63
Secisbp2	SECISBP2
Seh1l	SEH1L
Sel1l	SEL1L
Senp2	SENP2
Senp3	SENP3
Senp5	SENP5
Senp6	SENP6
Sephs1	SEPHS1
Serbp1	SERBP1
Sergef	SERGEF
Serinc1	SERINC1
Serinc3	SERINC3
Serpinb6a	SERPINB6
Serpinb6b	SERPINB6
Serpinb6c	SERPINB6
Serpinb6d	SERPINB6
Serpinb6e	SERPINB6
Sertad2	SERTAD2
Setd2	SETD2
Setd3	SETD3
Setd5	SETD5
Setd6	SETD6
Setd7	SETD7
Setdb1	SETDB1
Sf1	SF1
Sf3a1	SF3A1
Sf3a3	SF3A3
Sf3b1	SF3B1
Sf3b2	SF3B2
Sf3b3	SF3B3
Sf3b4	SF3B4
Sf3b5	SF3B5
Sfswap	SFSWAP
Sgms1	SGMS1
Sgpl1	SGPL1
Sgsm3	SGSM3
Sgta	SGTA
Sh3bp5l	SH3BP5L
Sh3glb1	SH3GLB1
Sharpin	SHARPIN
Shoc2	SHOC2
Siah1a	SIAH1
Siah1b	SIAH1
Siah2	SIAH2
Sigmar1	SIGMAR1
Sike1	SIKE1
Sil1	SIL1
Sirt2	SIRT2
Sirt3	SIRT3
Sirt5	SIRT5
Sirt6	SIRT6
Siva1	SIVA1
Skil	SKIL
Skp1	SKP1
Slc15a4	SLC15A4
Slc20a1	SLC20A1
Slc25a11	SLC25A11
Slc25a26	SLC25A26
Slc25a28	SLC25A28
Slc25a3	SLC25A3
Slc25a32	SLC25A32
Slc25a38	SLC25A38
Slc25a39	SLC25A39
Slc25a44	SLC25A44
Slc25a46	SLC25A46
Slc25a5	SLC25A5
Slc27a4	SLC27A4
Slc30a1	SLC30A1
Slc30a5	SLC30A5
Slc30a9	SLC30A9
Slc35a2	SLC35A2
Slc35a4	SLC35A4
Slc35b1	SLC35B1
Slc35b2	SLC35B2
Slc35c2	SLC35C2
Slc35e1	SLC35E1
Slc35e3	SLC35E3
Slc35f5	SLC35F5
Slc38a2	SLC38A2
Slc39a1	SLC39A1
Slc39a3	SLC39A3
Slc39a7	SLC39A7
Slc41a3	SLC41A3
Slc46a3	SLC46A3
Slc48a1	SLC48A1
Slirp	SLIRP
Sltm	SLTM
Smad2	SMAD2
Smad4	SMAD4
Smad5	SMAD5
Smap1	SMAP1
Smarca2	SMARCA2
Smarca4	SMARCA4
Smarcal1	SMARCAL1
Smarcb1	SMARCB1
Smarce1	SMARCE1
Smc1a	SMC1A
Smc5	SMC5
Smg5	SMG5
Smg7	SMG7
Smg8	SMG8
Smim11	SMIM11
Smim12	SMIM12
Smim8	SMIM8
Smndc1	SMNDC1
Smpd1	SMPD1
Smpd4	SMPD4
Smu1	SMU1
Smug1	SMUG1
Snap23	SNAP23
Snap29	SNAP29
Snap47	SNAP47
Snapc3	SNAPC3
Snapc5	SNAPC5
Snapin	SNAPIN
Snd1	SND1
Snf8	SNF8
Snrnp200	SNRNP200
Snrnp25	SNRNP25
Snrnp35	SNRNP35
Snrnp40	SNRNP40
Snrnp48	SNRNP48
Snrnp70	SNRNP70
Snrpa	SNRPA
Snrpb	SNRPB
Snrpb2	SNRPB2
Snrpc	SNRPC
Snrpd1	SNRPD1
Snrpd2	SNRPD2
Snrpd3	SNRPD3
Snrpg	SNRPG
Snupn	SNUPN
Snw1	SNW1
Snx12	SNX12
Snx13	SNX13
Snx17	SNX17
Snx18	SNX18
Snx19	SNX19
Snx2	SNX2
Snx25	SNX25
Snx3	SNX3
Snx4	SNX4
Snx5	SNX5
Snx6	SNX6
Snx9	SNX9
Socs4	SOCS4
Socs6	SOCS6
Sod1	SOD1
Son	SON
Spag7	SPAG7
Spag9	SPAG9
Spata2	SPATA2
Spata5l1	SPATA5L1
Spcs1	SPCS1
Specc1l	SPECC1L
Spen	SPEN
Spg11	SPG11
Spg21	SPG21
Spg7	SPG7
Spns1	SPNS1
Spop	SPOP
Spopfm2	SPOP
Spopfm3	SPOP
Sppl2b	SPPL2B
Sppl3	SPPL3
Spryd3	SPRYD3
Spryd7	SPRYD7
Spsb3	SPSB3
Sptssa	SPTSSA
Spty2d1	SPTY2D1
Sra1	SRA1
Srd5a3	SRD5A3
Srebf2	SREBF2
Srek1ip1	SREK1IP1
Srm	SRM
Srp14	SRP14
Srp19	SRP19
Srp54a	SRP54
Srp54b	SRP54
Srp54c	SRP54
Srp68	SRP68
Srp72	SRP72
Srp9	SRP9
Srprb	SRPRB
Srr	SRR
Srrd	SRRD
Srrm1	SRRM1
Srsf1	SRSF1
Srsf10	SRSF10
Srsf11	SRSF11
Srsf2	SRSF2
Srsf2	SRSF8
Srsf3	SRSF3
Srsf4	SRSF4
Srsf7	SRSF7
Ss18l2	SS18L2
Ssb	SSB
Ssbp1	SSBP1
Ssna1	SSNA1
Ssr1	SSR1
Ssr2	SSR2
Ssr3	SSR3
Ssrp1	SSRP1
Ssu72	SSU72
St3gal2	ST3GAL2
St6galnac6	ST6GALNAC6
St7	ST7
Stam	STAM
Stam2	STAM2
Stambp	STAMBP
Stard3	STARD3
Stard7	STARD7
Stat3	STAT3
Stau1	STAU1
Stau2	STAU2
Stim1	STIM1
Stip1	STIP1
Stk11	STK11
Stk16	STK16
Stom	STOM
Stoml1	STOML1
Stoml2	STOML2
Strap	STRAP
Strip1	STRIP1
Strn3	STRN3
Stt3a	STT3A
Stt3b	STT3B
Stub1	STUB1
Stx17	STX17
Stx4a	STX4
Stx5a	STX5
Stx8	STX8
Stxbp3	STXBP3
Styxl1	STYXL1
Sub1	SUB1
Sucla2	SUCLA2
Suclg1	SUCLG1
Suclg2	SUCLG2
Sugp1	SUGP1
Sugt1	SUGT1
Sumo1	SUMO1
Sumo3	SUMO3
Sun2	SUN2
Supt4a	SUPT4H1
Supt5	SUPT5H
Supt6	SUPT6H
Supt7l	SUPT7L
Supv3l1	SUPV3L1
Surf1	SURF1
Surf4	SURF4
Surf6	SURF6
Suz12	SUZ12
Syap1	SYAP1
Syf2	SYF2
Sympk	SYMPK
Syncrip	SYNCRIP
Synj2bp	SYNJ2BP
Sypl	SYPL1
Sys1	SYS1
Syvn1	SYVN1
Szrd1	SZRD1
Tab1	TAB1
Tab2	TAB2
Taco1	TACO1
Tada1	TADA1
Tada3	TADA3
Taf10	TAF10
Taf11	TAF11
Taf12	TAF12
Taf13	TAF13
Taf15	TAF15
Taf1d	TAF1D
Taf4	TAF4
Taf5l	TAF5L
Taf8	TAF8
Taf9	TAF9
Taldo1	TALDO1
Tamm41	TAMM41
Tango2	TANGO2
Tango6	TANGO6
Tank	TANK
Taok2	TAOK2
Tapbp	TAPBP
Tapt1	TAPT1
Tardbp	TARDBP
Tatdn1	TATDN1
Tatdn2	TATDN2
Tax1bp1	TAX1BP1
Tbc1d1	TBC1D1
Tbc1d14	TBC1D14
Tbc1d15	TBC1D15
Tbc1d20	TBC1D20
Tbc1d22a	TBC1D22A
Tbc1d23	TBC1D23
Tbc1d7	TBC1D7
Tbc1d9b	TBC1D9B
Tbca	TBCA
Tbcb	TBCB
Tbcc	TBCC
Tbccd1	TBCCD1
Tbcd	TBCD
Tbce	TBCE
Tbk1	TBK1
Tbrg1	TBRG1
Tbrg4	TBRG4
Tcaim	TCAIM
Tceanc2	TCEANC2
Tcerg1	TCERG1
Tcf12	TCF12
Tcf20	TCF20
Tcf25	TCF25
Tcp1	TCP1
Tctn3	TCTN3
Tdp2	TDP2
Tdpoz1	SPOP
Tdpoz2	SPOP
Tdpoz3	SPOP
Tdpoz4	SPOP
Tdpoz5	SPOP
Tdpoz6	SPOP
Tdpoz7	SPOP
Tdpoz8	SPOP
Tdpoz9	SPOP
Tdpoz9-ps1	SPOP
Tdrd3	TDRD3
Tecr	TECR
Tef	TEF
Tefm	TEFM
Telo2	TELO2
Terf2	TERF2
Terf2ip	TERF2IP
Tex2	TEX2
Tex261	TEX261
Tex264	TEX264
Tfam	TFAM
Tfb1m	TFB1M
Tfb2m	TFB2M
Tfcp2	TFCP2
Tfdp1	TFDP1
Tfe3	TFE3
Tfg	TFG
Tfip11	TFIP11
Tfpt	TFPT
Tgoln1	TGOLN2
Thada	THADA
Thap3	THAP3
Thap4	THAP4
Thap7	THAP7
Thoc5	THOC5
Thoc7	THOC7
Thop1	THOP1
Thrap3	THRAP3
Thtpa	THTPA
Thumpd3	THUMPD3
Thyn1	THYN1
Tia1	TIA1
Tial1	TIAL1
Ticam1	TICAM1
Tigd5	TIGD5
Timm10	TIMM10
Timm13	TIMM13
Timm17a	TIMM17A
Timm17b	TIMM17B
Timm21	TIMM21
Timm22	TIMM22
Timm44	TIMM44
Timm50	TIMM50
Timm8b	TIMM8B
Timm9	TIMM9
Timmdc1	TIMMDC1
Tinf2	TINF2
Tiprl	TIPRL
Tjap1	TJAP1
Tle1	TLE1
Tlk1	TLK1
Tm2d1	TM2D1
Tm2d2	TM2D2
Tm2d3	TM2D3
Tm9sf1	TM9SF1
Tm9sf2	TM9SF2
Tm9sf3	TM9SF3
Tm9sf4	TM9SF4
Tmbim1	TMBIM1
Tmbim4	TMBIM4
Tmbim6	TMBIM6
Tmcc1	TMCC1
Tmco1	TMCO1
Tmco3	TMCO3
Tmed1	TMED1
Tmed10	TMED10
Tmed2	TMED2
Tmed4	TMED4
Tmed5	TMED5
Tmed7	TMED7
Tmed9	TMED9
Tmem101	TMEM101
Tmem106b	TMEM106B
Tmem106c	TMEM106C
Tmem115	TMEM115
Tmem120a	TMEM120A
Tmem126a	TMEM126A
Tmem127	TMEM127
Tmem128	TMEM128
Tmem129	TMEM129
Tmem131	TMEM131
Tmem134	TMEM134
Tmem141	TMEM141
Tmem147	TMEM147
Tmem14c	TMEM14C
Tmem161a	TMEM161A
Tmem168	TMEM168
Tmem177	TMEM177
Tmem179b	TMEM179B
Tmem18	TMEM18
Tmem184c	TMEM184C
Tmem185b	TMEM185B
Tmem186	TMEM186
Tmem19	TMEM19
Tmem192	TMEM192
Tmem199	TMEM199
Tmem203	TMEM203
Tmem205	TMEM205
Tmem214	TMEM214
Tmem219	TMEM219
Tmem222	TMEM222
Tmem223	TMEM223
Tmem230	TMEM230
Tmem242	TMEM242
Tmem248	TMEM248
Tmem251	TMEM251
Tmem256	TMEM256
Tmem258	TMEM258
Tmem259	TMEM259
Tmem30a	TMEM30A
Tmem33	TMEM33
Tmem39a	TMEM39A
Tmem41b	TMEM41B
Tmem42	TMEM42
Tmem50a	TMEM50A
Tmem50b	TMEM50B
Tmem59	TMEM59
Tmem60	TMEM60
Tmem62	TMEM62
Tmem63b	TMEM63B
Tmem64	TMEM64
Tmem69	TMEM69
Tmem70	TMEM70
Tmem81	TMEM81
Tmem87a	TMEM87A
Tmem9	TMEM9
Tmem9b	TMEM9B
Tmf1	TMF1
Tmub1	TMUB1
Tmub2	TMUB2
Tmx1	TMX1
Tmx2	TMX2
Tmx4	TMX4
Tnfaip1	TNFAIP1
Tnip1	TNIP1
Tnks2	TNKS2
Tnpo1	TNPO1
Tnpo3	TNPO3
Tnrc6a	TNRC6A
Tob1	TOB1
Tollip	TOLLIP
Tomm20	TOMM20
Tomm22	TOMM22
Tomm40	TOMM40
Tomm6	TOMM6
Tomm7	TOMM7
Top1	TOP1
Top2b	TOP2B
Topors	TOPORS
Tor1a	TOR1A
Tor1aip2	TOR1AIP2
Tor1b	TOR1B
Tor3a	TOR3A
Tox4	TOX4
Tpcn1	TPCN1
Tpd52l2	TPD52L2
Tpgs1	TPGS1
Tpi1	TPI1
Tpp2	TPP2
Tpra1	TPRA1
Tprgl	TPRG1L
Tprkb	TPRKB
Tprn	TPRN
Tpst2	TPST2
Tra2a	TRA2A
Tra2b	TRA2B
Traf6	TRAF6
Traf7	TRAF7
Trap1	TRAP1
Trappc1	TRAPPC1
Trappc10	TRAPPC10
Trappc11	TRAPPC11
Trappc12	TRAPPC12
Trappc13	TRAPPC13
Trappc2l	TRAPPC2L
Trappc3	TRAPPC3
Trappc4	TRAPPC4
Trappc5	TRAPPC5
Trappc6b	TRAPPC6B
Trappc8	TRAPPC8
Trappc9	TRAPPC9
Triap1	TRIAP1
Trim26	TRIM26
Trim27	TRIM27
Trim28	TRIM28
Trim3	TRIM3
Trim39	TRIM39
Trim41	TRIM41
Trim44	TRIM44
Trim56	TRIM56
Trim65	TRIM65
Trim8	TRIM8
Trip12	TRIP12
Trip4	TRIP4
Trmt1	TRMT1
Trmt10c	TRMT10C
Trmt112	TRMT112
Trmt12	TRMT12
Trmt1l	TRMT1L
Trmt2a	TRMT2A
Trnau1ap	TRNAU1AP
Trnt1	TRNT1
Trp53rka	TP53RK
Trp53rkb	TP53RK
Trpc4ap	TRPC4AP
Trpt1	TRPT1
Trub2	TRUB2
Tsc2	TSC2
Tsen15	TSEN15
Tsen34	TSEN34
Tsfm	TSFM
Tsg101	TSG101
Tsn	TSN
Tsnax	TSNAX
Tspan17	TSPAN17
Tspan31	TSPAN31
Tspyl1	TSPYL1
Tsr1	TSR1
Tsr2	TSR2
Tsr3	TSR3
Tssc4	TSSC4
Tstd2	TSTD2
Ttc1	TTC1
Ttc17	TTC17
Ttc19	TTC19
Ttc32	TTC32
Ttc33	TTC33
Ttc4	TTC4
Ttc7b	TTC7B
Ttc9c	TTC9C
Tti1	TTI1
Tti2	TTI2
Tuba1b	TUBA1B
Tuba1c	TUBA1C
Tubb5	TUBB
Tubd1	TUBD1
Tubgcp2	TUBGCP2
Tubgcp4	TUBGCP4
Tufm	TUFM
Tusc2	TUSC2
Tut1	TUT1
Tvp23b	TVP23B
Txlna	TXLNA
Txlng	TXLNG
Txn2	TXN2
Txndc11	TXNDC11
Txndc12	TXNDC12
Txndc15	TXNDC15
Txndc17	TXNDC17
Txndc9	TXNDC9
Txnl1	TXNL1
Txnl4a	TXNL4A
Txnl4b	TXNL4B
Txnrd1	TXNRD1
Tyk2	TYK2
Tyw1	TYW1
U2af1	U2AF1
U2af1l4	U2AF1L4
U2af2	U2AF2
Uap1	UAP1
Uba1	UBA1
Uba2	UBA2
Uba3	UBA3
Uba5	UBA5
Uba52	UBA52
Ubac2	UBAC2
Ubald1	UBALD1
Ubap1	UBAP1
Ubap2l	UBAP2L
Ubb	UBB
Ubc	UBC
Ube2a	UBE2A
Ube2b	UBE2B
Ube2d2a	UBE2D2
Ube2d3	UBE2D3
Ube2e1	UBE2E1
Ube2e2	UBE2E2
Ube2e3	UBE2E3
Ube2f	UBE2F
Ube2g2	UBE2G2
Ube2h	UBE2H
Ube2i	UBE2I
Ube2j1	UBE2J1
Ube2j2	UBE2J2
Ube2k	UBE2K
Ube2l3	UBE2L3
Ube2m	UBE2M
Ube2n	UBE2N
Ube2q1	UBE2Q1
Ube2r2	UBE2R2
Ube2v1	UBE2V1
Ube2v2	UBE2V2
Ube2w	UBE2W
Ube2z	UBE2Z
Ube3a	UBE3A
Ube3b	UBE3B
Ube3c	UBE3C
Ube4a	UBE4A
Ube4b	UBE4B
Ubfd1	UBFD1
Ubiad1	UBIAD1
Ubl3	UBL3
Ubl4a	UBL4A
Ubl5	UBL5
Ubl5b	UBL5
Ubl5c	UBL5
Ubl7	UBL7
Ubox5	UBOX5
Ubp1	UBP1
Ubqln1	UBQLN1
Ubqln2	UBQLN2
Ubqln4	UBQLN4
Ubr2	UBR2
Ubr7	UBR7
Ubtd1	UBTD1
Ubtf	UBTF
Ubxn2a	UBXN2A
Ubxn4	UBXN4
Ubxn6	UBXN6
Uchl3	UCHL3
Uchl4	UCHL3
Uchl5	UCHL5
Uck1	UCK1
Uck2	UCK2
Uckl1	UCKL1
Uevld	UEVLD
Ufc1	UFC1
Ufl1	UFL1
Ufsp2	UFSP2
Ugp2	UGP2
Ulk1	ULK1
Ulk3	ULK3
Unc50	UNC50
Ung	UNG
Upf1	UPF1
Upf2	UPF2
Upf3b	UPF3B
Uprt	UPRT
Uqcr10	UQCR10
Uqcr11	UQCR11
Uqcrb	UQCRB
Uqcrc1	UQCRC1
Uqcrc2	UQCRC2
Uqcrh	UQCRHL
Uqcrq	UQCRQ
Urgcp	URGCP
Uri1	URI1
Urm1	URM1
Urod	UROD
Uros	UROS
Usb1	USB1
Use1	USE1
Usf1	USF1
Usf2	USF2
Usp10	USP10
Usp14	USP14
Usp16	USP16
Usp19	USP19
Usp22	USP22
Usp25	USP25
Usp27x	USP27X
Usp33	USP33
Usp38	USP38
Usp39	USP39
Usp4	USP4
Usp47	USP47
Usp5	USP5
Usp7	USP7
Usp8	USP8
Usp9x	USP9X
Utp14a	UTP14A
Utp14a	UTP14C
Utp14b	UTP14A
Utp14b	UTP14C
Utp15	UTP15
Utp23	UTP23
Utp3	UTP3
Utp6	UTP6
Uxs1	UXS1
Uxt	UXT
Vac14	VAC14
Vamp3	VAMP3
Vamp5	VAMP5
Vapa	VAPA
Vapb	VAPB
Vars2	VARS2
Vbp1	VBP1
Vcp	VCP
Vdac3	VDAC3
Vezt	VEZT
Vma21	VMA21
Vps16	VPS16
Vps18	VPS18
Vps25	VPS25
Vps26a	VPS26A
Vps26b	VPS26B
Vps28	VPS28
Vps29	VPS29
Vps33a	VPS33A
Vps36	VPS36
Vps37a	VPS37A
Vps4a	VPS4A
Vps51	VPS51
Vps52	VPS52
Vps53	VPS53
Vps72	VPS72
Vrk2	VRK2
Vrk3	VRK3
Vta1	VTA1
Vti1a	VTI1A
Vti1b	VTI1B
Wac	WAC
Wars2	WARS2
Wbp1l	WBP1L
Wbp2	WBP2
Wbp4	WBP4
Wdr1	WDR1
Wdr12	WDR12
Wdr13	WDR13
Wdr18	WDR18
Wdr20	WDR20
Wdr20rt	WDR20
Wdr24	WDR24
Wdr25	WDR25
Wdr26	WDR26
Wdr3	WDR3
Wdr33	WDR33
Wdr36	WDR36
Wdr41	WDR41
Wdr43	WDR43
Wdr44	WDR44
Wdr45	WDR45
Wdr45b	WDR45B
Wdr46	WDR46
Wdr55	WDR55
Wdr59	WDR59
Wdr5b	WDR5B
Wdr6	WDR6
Wdr70	WDR70
Wdr73	WDR73
Wdr74	WDR74
Wdr75	WDR75
Wdr77	WDR77
Wdr81	WDR81
Wdr83os	WDR83OS
Wdr89	WDR89
Wdtc1	WDTC1
Wipi2	WIPI2
Wiz	WIZ
Wrap53	WRAP53
Wrnip1	WRNIP1
Wsb2	WSB2
Wtap	WTAP
Wwp1	WWP1
Wwp2	WWP2
Xiap	XIAP
Xpa	XPA
Xpc	XPC
Xpnpep1	XPNPEP1
Xpo1	XPO1
Xpo7	XPO7
Xpot	XPOT
Xrcc5	XRCC5
Xrcc6	XRCC6
Xylt2	XYLT2
Yaf2	YAF2
Yars2	YARS2
Yif1a	YIF1A
Yif1b	YIF1B
Yipf1	YIPF1
Yipf3	YIPF3
Yipf4	YIPF4
Yipf5	YIPF5
Yipf6	YIPF6
Ykt6	YKT6
Yme1l1	YME1L1
Ypel2	YPEL2
Yrdc	YRDC
Ythdc1	YTHDC1
Ythdf1	YTHDF1
Ythdf2	YTHDF2
Ythdf3	YTHDF3
Ywhab	YWHAB
Ywhae	YWHAE
Yy1	YY1
Zbed4	ZBED4
Zbed6	ZBED6
Zbtb1	ZBTB1
Zbtb10	ZBTB10
Zbtb11	ZBTB11
Zbtb14	ZBTB14
Zbtb17	ZBTB17
Zbtb18	ZBTB18
Zbtb21	ZBTB21
Zbtb25	ZBTB25
Zbtb33	ZBTB33
Zbtb39	ZBTB39
Zbtb44	ZBTB44
Zbtb45	ZBTB45
Zbtb5	ZBTB5
Zbtb6	ZBTB6
Zbtb7a	ZBTB7A
Zbtb8os	ZBTB8OS
Zc3h10	ZC3H10
Zc3h11a	ZC3H11A
Zc3h13	ZC3H13
Zc3h15	ZC3H15
Zc3h18	ZC3H18
Zc3h3	ZC3H3
Zc3h7a	ZC3H7A
Zc3h7b	ZC3H7B
Zcchc10	ZCCHC10
Zcchc3	ZCCHC3
Zcchc7	ZCCHC7
Zcchc9	ZCCHC9
Zcrb1	ZCRB1
Zdhhc14	ZDHHC14
Zdhhc16	ZDHHC16
Zdhhc2	ZDHHC2
Zdhhc3	ZDHHC3
Zdhhc4	ZDHHC4
Zdhhc5	ZDHHC5
Zdhhc8	ZDHHC8
Zfand1	ZFAND1
Zfand2b	ZFAND2B
Zfand3	ZFAND3
Zfand5	ZFAND5
Zfand6	ZFAND6
Zfp110	ZNF274
Zfp131	ZNF131
Zfp142	ZNF142
Zfp143	ZNF143
Zfp146	ZNF146
Zfp174	ZNF174
Zfp189	ZNF189
Zfp207	ZNF207
Zfp24	ZNF24
Zfp273	ZNF195
Zfp277	ZNF277
Zfp280d	ZNF280D
Zfp281	ZNF281
Zfp322a	ZNF322
Zfp326	ZNF326
Zfp330	ZNF330
Zfp335	ZNF335
Zfp369	ZNF274
Zfp384	ZNF384
Zfp397	ZNF397
Zfp398	ZNF398
Zfp408	ZNF408
Zfp410	ZNF410
Zfp414	ZNF414
Zfp420	ZNF721
Zfp422	ZNF22
Zfp429	ZNF195
Zfp438	ZNF438
Zfp444	ZNF444
Zfp446	ZNF446
Zfp455	ZNF195
Zfp456	ZNF195
Zfp493	ZNF195
Zfp507	ZNF507
Zfp513	ZNF513
Zfp518a	ZNF518A
Zfp523	ZNF76
Zfp526	ZNF526
Zfp553	ZNF48
Zfp560	ZNF121
Zfp574	ZNF574
Zfp579	ZNF579
Zfp58	ZNF195
Zfp580	ZNF580
Zfp592	ZNF592
Zfp593	ZNF593
Zfp598	ZNF598
Zfp61	ZNF226
Zfp622	ZNF622
Zfp623	ZNF623
Zfp637	ZNF32
Zfp638	ZNF638
Zfp639	ZNF639
Zfp641	ZNF641
Zfp644	ZNF644
Zfp654	ZNF654
Zfp655	ZNF655
Zfp664	ZNF664
Zfp668	ZNF668
Zfp672	ZNF672
Zfp687	ZNF687
Zfp688	ZNF688
Zfp691	ZNF691
Zfp7	ZNF7
Zfp706	ZNF706
Zfp708	ZNF195
Zfp72	ZNF195
Zfp740	ZNF740
Zfp764	ZNF764
Zfp770	ZNF770
Zfp777	ZNF777
Zfp78	ZNF491
Zfp787	ZNF787
Zfp830	ZNF830
Zfp85	ZNF195
Zfp865	ZNF865
Zfp87	ZNF195
Zfp874a	ZNF195
Zfp874b	ZNF195
Zfp91	ZFP91
Zfp941	ZNF195
Zfp957	TCF20
Zfpl1	ZFPL1
Zfr	ZFR
